Rank,Team,Weighted Matches,Points,Rating
1,Pakistan,26,"7,365",283
2,England,16,"4,253",266
3,South Africa,16,"4,196",262
4,Australia,21,"5,471",261
5,India,28,"7,273",260
6,New Zealand,16,"4,056",254
7,Afghanistan,16,"3,849",241
8,Sri Lanka,18,"4,093",227
9,West Indies,21,"4,747",226
10,Bangladesh,16,"3,525",220
11,Nepal,8,"1,698",212
12,Scotland,11,"2,185",199
13,Zimbabwe,9,"1,730",192
14,Netherlands,9,"1,686",187
15,Ireland,19,"3,455",182
16,UAE,14,"2,527",181
17,Papua New Guinea,17,"2,920",172
18,Oman,5,774,155
19,Hong Kong,8,"1,213",152
20,Namibia,9,"1,273",141
21,Qatar,11,"1,421",129
22,Saudi Arabia,11,"1,331",121
23,Singapore,10,"1,181",118
24,Denmark,7,813,116
25,Canada,8,887,111
26,Jersey,8,851,106
27,Kuwait,7,727,104
28,Ghana,6,602,100
29,Kenya,9,851,95
30,Botswana,12,"1,120",93
31,United States,9,758,84
32,Austria,6,439,73
33,Malaysia,12,877,73
34,Germany,11,774,70
35,Guernsey,8,546,68
36,Uganda,10,678,68
37,Sweden,8,465,58
38,Tanzania,6,334,56
39,Nigeria,7,383,55
40,Luxembourg,6,328,55
41,Spain,9,479,53
42,Philippines,9,433,48
43,France,6,267,45
44,Belize,9,377,42
45,Peru,9,356,40
46,Bahrain,7,261,37
47,Mexico,12,426,36
48,Fiji,6,210,35
49,Samoa,6,205,34
50,Vanuatu,10,330,33
51,Panama,9,291,32
52,Belgium,9,290,32
53,Japan,10,317,32
54,Costa Rica,8,252,32
55,Thailand,10,313,31
56,Argentina,12,370,31
57,Hungary,6,180,30
58,Mozambique,12,352,29
59,Chile,10,249,25
60,Malawi,12,297,25
61,Israel,7,173,25
62,Bhutan,8,180,23
63,Finland,8,177,22
64,South Korea,10,217,22
65,Isle of Man,7,149,21
66,Malta,11,158,14
67,Bulgaria,5,68,14
68,Sierra Leone,5,61,12
69,Brazil,9,108,12
70,Czech Republic,10,91,9
71,Saint Helena,12,109,9
72,Maldives,8,63,8
73,Gibraltar,8,35,4
74,Myanmar,9,23,3
75,Indonesia,7,3,0
76,Lesotho,6,0,0
77,Rwanda,6,0,0
78,Swaziland,6,0,0
79,Gambia,6,0,0
80,China,11,0,0
